original_id	work_title	work_authors	authors_lifetime	work_publication_year	work_category	file_format	notes	original_source
As Primaveras|Abreu, Casimiro de	As Primaveras	Abreu, Casimiro de	1839-1860		Poesia	PDF	Fonte Original: Fundação Biblioteca Nacional	Portal Domínio Público
Carolina|Abreu, Casimiro de	Carolina	Abreu, Casimiro de	1839-1860	1955	Contos	PDF	Fonte Original: Biblioteca Virtual do Estudante Brasileiro / USP	Portal Domínio Público
Bases da Ortografia Portuguesa|Abreu, Guilherme de Vasconcelos; Viana, A. R. Gonçalves	Bases da Ortografia Portuguesa	Abreu, Guilherme de Vasconcelos; Viana, A. R. Gonçalves	1842-1907	1885	Linguística	HTML, EPUB, MOBI e TXT		Project Gutenberg
Capítulos de História Colonial (1500-1800)|Abreu, João Capistrano de	Capítulos de História Colonial (1500-1800)	Abreu, João Capistrano de			História	PDF	Fonte Original: Fundação Biblioteca Nacional	Portal Domínio Público
A Revolução Portugueza: O 31 de Janeiro|Abreu, Jorge de	A Revolução Portugueza: O 31 de Janeiro	Abreu, Jorge de	1878-1932	1912	História	HTML, EPUB, MOBI e TXT		Project Gutenberg
A Revolução Portugueza: O 5 de Outubro|Abreu, Jorge de	A Revolução Portugueza: O 5 de Outubro	Abreu, Jorge de	1878-1932	1912	História	HTML, EPUB, MOBI e TXT		Project Gutenberg
Jaime de Magalhães Lima|Agostinho, José	Jaime de Magalhães Lima	Agostinho, José	1866-1938	1911	Ensaio  Literatura	HTML, EPUB, MOBI e TXT		Project Gutenberg
Manuel da Maya e os engenheiros militares portugueses no Terramoto de 1755|Aires, Cristóvão	Manuel da Maya e os engenheiros militares portugueses no Terramoto de 1755	Aires, Cristóvão	1853-1930	1910	Ensaio  Arte	HTML, EPUB, MOBI e TXT		Project Gutenberg
Os Filhos do Padre Anselmo|Albergaria, Sá de	Os Filhos do Padre Anselmo	Albergaria, Sá de	1850-1922	1904	Romance	HTML, EPUB, MOBI e TXT		Project Gutenberg
Descobrimento das Filippinas pelo navegador portuguez Fernão de Magalhães|Alberto, Caetano	Descobrimento das Filippinas pelo navegador portuguez Fernão de Magalhães	Alberto, Caetano	1843-1924	1898	História	HTML, EPUB, MOBI e TXT		Project Gutenberg
Sidónio na Lenda|Albuquerque, António de	Sidónio na Lenda	Albuquerque, António de	1866-1923	1922	Biografia	PDF		Bibliotrónica Portuguesa
Ruy o escudeiro|Albuquerque, Luís da Silva Mousinho de	Ruy o escudeiro	Albuquerque, Luís da Silva Mousinho de	1792-1846	1844	Poesia	HTML, EPUB, MOBI e TXT		Project Gutenberg
Cartas de amor ao cavalheiro de Chamilly|Alcoforado, Mariana	Cartas de amor ao cavalheiro de Chamilly	Alcoforado, Mariana	1640-1723	193-	Literatura Epistolar	PDF		Biblioteca Digital do Alentejo
Como e porque sou romancista|Alencar, José de	Como e porque sou romancista	Alencar, José de	1829-1877	1893	Autobiografia	HTML, EPUB, MOBI e TXT		Project Gutenberg
Ubirajara: Lenda Tupi|Alencar, José de	Ubirajara: Lenda Tupi	Alencar, José de	1829-1877	1911	Lendas	HTML, EPUB, MOBI e TXT		Project Gutenberg
Senhora|Alencar, José de	Senhora	Alencar, José de	1829-1877		Romance	PDF	Fonte Original: Fundação Biblioteca Nacional	Portal Domínio Público
Iracema|Alencar, José de	Iracema	Alencar, José de	1829-1877		Romance	PDF	Fonte Original: Fundação Biblioteca Nacional	Portal Domínio Público
O Guarani|Alencar, José de	O Guarani	Alencar, José de	1829-1877	1996	Romance	PDF	Fonte Original: Biblioteca Virtual do Estudante Brasileiro / USP	Portal Domínio Público
O que é o Casamento?|Alencar, José de	O que é o Casamento?	Alencar, José de	1829-1877		Drama	PDF	Fonte Original: Biblioteca Virtual de Literatura	Portal Domínio Público
Iracema|Alencar, José de	Iracema	Alencar, José de	1829-1877	1991	Romance	PDF	Fonte Original: Biblioteca Virtual do Estudante Brasileiro / USP	Portal Domínio Público
Lucíola|Alencar, José de	Lucíola	Alencar, José de	1829-1877		Romance	PDF	Fonte Original: Fundação Biblioteca Nacional	Portal Domínio Público
Til|Alencar, José de	Til	Alencar, José de	1829-1877		Romance	PDF	Fonte Original: Biblioteca Virtual do Estudante Brasileiro / USP	Portal Domínio Público
A Viuvinha|Alencar, José de	A Viuvinha	Alencar, José de	1829-1877		Novela	PDF	Fonte Original: Fundação Biblioteca Nacional	Portal Domínio Público
Cinco Minutos|Alencar, José de	Cinco Minutos	Alencar, José de	1829-1877		Novela	PDF	Fonte Original: Biblioteca Virtual do Estudante Brasileiro / USP	Portal Domínio Público
Senhora|Alencar, José de	Senhora	Alencar, José de	1829-1877		Romance	PDF	Fonte Original: Biblioteca Virtual do Estudante Brasileiro / USP	Portal Domínio Público
A Alma do Lázaro|Alencar, José de	A Alma do Lázaro	Alencar, José de	1829-1877		Contos	PDF	Fonte Original: Biblioteca Virtual de Literatura	Portal Domínio Público
Cinco minutos|Alencar, José de	Cinco minutos	Alencar, José de	1829-1877		Novela	PDF	Fonte Original: Fundação Biblioteca Nacional	Portal Domínio Público
Como e por que sou Romancista|Alencar, José de	Como e por que sou Romancista	Alencar, José de	1829-1877		Autobiografia	PDF	Fonte Original: Biblioteca Virtual do Estudante Brasileiro / USP	Portal Domínio Público
A Pata da Gazela|Alencar, José de	A Pata da Gazela	Alencar, José de	1829-1877		Romance	PDF	Fonte Original: Fundação Biblioteca Nacional	Portal Domínio Público
O Sertanejo|Alencar, José de	O Sertanejo	Alencar, José de	1829-1877		Romance	PDF	Fonte Original: Biblioteca Virtual do Estudante Brasileiro / USP	Portal Domínio Público
Ubirajara|Alencar, José de	Ubirajara	Alencar, José de	1829-1877		Romance	PDF	Fonte Original: Biblioteca Virtual do Estudante Brasileiro / USP	Portal Domínio Público
O Demônio Familiar|Alencar, José de	O Demônio Familiar	Alencar, José de	1829-1877		Drama	PDF	Fonte Original: Biblioteca Virtual de Literatura	Portal Domínio Público
Lucíola|Alencar, José de	Lucíola	Alencar, José de	1829-1877	1988	Romance	PDF	Fonte Original: Biblioteca Virtual do Estudante Brasileiro / USP	Portal Domínio Público
A Viuvinha|Alencar, José de	A Viuvinha	Alencar, José de	1829-1877		Romance	PDF	Fonte Original: Biblioteca Virtual do Estudante Brasileiro / USP	Portal Domínio Público
Diva|Alencar, José de	Diva	Alencar, José de	1829-1877		Romance	PDF	Fonte Original: Fundação Biblioteca Nacional	Portal Domínio Público
As Asas de um Anjo|Alencar, José de	As Asas de um Anjo	Alencar, José de	1829-1877		Drama	PDF	Fonte Original: Universidade da Amazônia - UNAMA	Portal Domínio Público
O Gaúcho|Alencar, José de	O Gaúcho	Alencar, José de	1829-1877	1998	Romance	PDF	Fonte Original: Biblioteca Virtual do Estudante Brasileiro / USP	Portal Domínio Público
Mãe|Alencar, José de	Mãe	Alencar, José de	1829-1877		Drama	PDF	Fonte Original: Biblioteca Virtual de Literatura	Portal Domínio Público
Octavia: Tragedia em 5 Actos|Alfieri, Vittorio	Octavia: Tragedia em 5 Actos	Alfieri, Vittorio	1749-1803	1869	Drama	HTML, EPUB, MOBI e TXT		Project Gutenberg
Memoria sobre o melhoramento da cultura da Beira e da navegação do Mondego|Almeida, António de	Memoria sobre o melhoramento da cultura da Beira e da navegação do Mondego	Almeida, António de	1821-?	1858	Monografia	HTML, EPUB, MOBI e TXT		Project Gutenberg
Breves palavras sobre a cultura da Oliveira|Almeida, Avelino Nunes de	Breves palavras sobre a cultura da Oliveira	Almeida, Avelino Nunes de		1899	Ciência  Botânica	HTML, EPUB, MOBI e TXT		Project Gutenberg
Aves Migradoras|Almeida, Fialho de	Aves Migradoras	Almeida, Fialho de	1857-1911	1922	Contos	HTML, EPUB, MOBI e TXT		Project Gutenberg
O País das Uvas|Almeida, Fialho de	O País das Uvas	Almeida, Fialho de	1857-1911	1946	Contos	PDF		Biblioteca Digital do Alentejo
Saibam quantos...|Almeida, Fialho de	Saibam quantos...	Almeida, Fialho de	1857-1911	1917	Crónicas	PDF		Biblioteca Digital do Alentejo
Vida Ironica|Almeida, Fialho de	Vida Ironica	Almeida, Fialho de	1857-1911	1920	Crónicas	PDF		Biblioteca Digital do Alentejo
Actores e Autores|Almeida, Fialho de	Actores e Autores	Almeida, Fialho de	1857-1911	1925	Ensaio  Arte	PDF		Biblioteca Digital do Alentejo
Contos|Almeida, Fialho de	Contos	Almeida, Fialho de	1857-1911	1922	Contos	PDF		Biblioteca Digital do Alentejo
Lisboa Galante|Almeida, Fialho de	Lisboa Galante	Almeida, Fialho de	1857-1911	1927	Crónicas	PDF		Biblioteca Digital do Alentejo
A Cidade do Vicio|Almeida, Fialho de	A Cidade do Vicio	Almeida, Fialho de	1857-1911	1932	Contos	PDF		Biblioteca Digital do Alentejo
Estancias dArte e de Saudade|Almeida, Fialho de	Estancias dArte e de Saudade	Almeida, Fialho de	1857-1911	1921	Literatura de Viagem	PDF		Biblioteca Digital do Alentejo
Os gatos - Vol. VI|Almeida, Fialho de	Os gatos - Vol. VI	Almeida, Fialho de	1857-1911	1923	Sátira	PDF		Biblioteca Digital do Alentejo
Os gatos - Vol. V|Almeida, Fialho de	Os gatos - Vol. V	Almeida, Fialho de	1857-1911	1923	Sátira	PDF		Biblioteca Digital do Alentejo
Os gatos - Vol. I|Almeida, Fialho de	Os gatos - Vol. I	Almeida, Fialho de	1857-1911	1927	Sátira	PDF		Biblioteca Digital do Alentejo
Os gatos - Vol. III|Almeida, Fialho de	Os gatos - Vol. III	Almeida, Fialho de	1857-1911	1921	Sátira	PDF		Biblioteca Digital do Alentejo
