original_id	work_title	work_authors	file_format	file_size	number_of_access	original_source
14 de Julho na roça|Raul Pompéia	14 de Julho na roça	Raul Pompéia	.pdf	873,48              KB	28.730	[bi] Biblioteca Virtual de Literatura
345|Artur Azevedo	345	Artur Azevedo	.pdf	71,52              KB	13.305	[bi] Biblioteca Virtual de Literatura
6 rocks matutos & 1 romance rasgado. Sambarrancho do bar Jangadeiro|Salomão Rovedo	6 rocks matutos & 1 romance rasgado. Sambarrancho do bar Jangadeiro	Salomão Rovedo	.pdf	131,46              KB	2.986	[ea] Edição do Autor
7 Canções|Salomão Rovedo	7 Canções	Salomão Rovedo	.pdf	83,45              KB	18.593	[ea] Edição do Autor
"A ""Não-me-toques""!|Artur Azevedo"	"A ""Não-me-toques""!"	Artur Azevedo	.pdf	71,10              KB	31.272	[bi] Biblioteca Virtual de Literatura
A Abóboda|Alexandre Herculano	A Abóboda	Alexandre Herculano	.pdf	206,36              KB	4.861	[ws] Wikisource
A Alegria da Revolução|Ken Knab	A Alegria da Revolução	Ken Knab	.pdf	768,58              KB	12.963	[eb] eBooksBrasil
A Alma Encantadora das Ruas|João do Rio	A Alma Encantadora das Ruas	João do Rio	.pdf	577,13              KB	76.020	[bn] Fundação Biblioteca Nacional
A Alma Encantadora das Ruas|João do Rio	A Alma Encantadora das Ruas	João do Rio	.pdf	809,88              KB	23.688	[bi] Biblioteca Virtual de Literatura
A Alma do Lázaro|José de Alencar	A Alma do Lázaro	José de Alencar	.pdf	208,77              KB	31.523	[bi] Biblioteca Virtual de Literatura
A Almanjarra|Artur Azevedo	A Almanjarra	Artur Azevedo	.pdf	164,68              KB	5.529	[bi] Biblioteca Virtual de Literatura
A Ama-Seca|Artur Azevedo	A Ama-Seca	Artur Azevedo	.pdf	58,76              KB	21.804	[bi] Biblioteca Virtual de Literatura
A Arrábida|Alexandre Herculano	A Arrábida	Alexandre Herculano	.pdf	69,22              KB	9.969	[bi] Biblioteca Virtual de Literatura
A Bela Madame Vargas|João do Rio	A Bela Madame Vargas	João do Rio	.pdf	226,22              KB	15.312	[fs] Universidade Federal de Santa Catarina - UFSC
A Bonaval quer'eu, mia senhor, ir|Bernardo de Bonaval	A Bonaval quer'eu, mia senhor, ir	Bernardo de Bonaval	.pdf	30,41              KB	1.069	[wk] Wikipédia, a enciclopédia livre
A Brasileira de Prazins|Camilo Castelo Branco	A Brasileira de Prazins	Camilo Castelo Branco	.pdf	758,77              KB	22.979	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Campanha Abolicionista|José Carlos do Patrocínio	A Campanha Abolicionista	José Carlos do Patrocínio	.pdf	735,20              KB	11.633	[bn] Fundação Biblioteca Nacional
A Capital Federal|Artur Azevedo	A Capital Federal	Artur Azevedo	.pdf	1,02              MB	16.576	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Capital Federal|Artur Azevedo	A Capital Federal	Artur Azevedo	.pdf	202,51              KB	2.641	[ua] Universidade da Amazônia - UNAMA
A Capital Federal|Artur Azevedo	A Capital Federal	Artur Azevedo	.pdf	318,58              KB	4.434	[bn] Fundação Biblioteca Nacional
