original_id	goodreads_id
A Afilhada|Manuel de Oliveira Paiva	27703627
A Águia|Carlos Dias;Alberto Pimentel;Hernâni Cidade;Guerra Junqueiro;Raul Brandão;Leonardo Coimbra;Teixeira de Pascoaes;Paulo Freire;Mário Beirão;Mello Freitas;Teixeira Rego;Visconde de Vila Moura;Miguel de Unamuno;Philéas Lebesgue;José Rodríguez Carracido;Ribera i Rovira	2074546
A alma alheia|Pedro Rabelo	42608885
A alma do outro mundo|Luís Guimarães Júnior	27703271
A Arcádia Lusitana|Teófilo Braga	41995872
A arte de fazer versos|Osório Duque Estrada	56965633
A Besta Esfolada|José Agostinho de Macedo	37603731
A Bíblia da humanidade|Antero de Quental	18514807
A bico de pena|Coelho Neto	39672815
A bruxa de Monte Córdova|Camilo Castelo Branco	8568086
A capital federal|Coelho Neto	11997540
A carteira de meu tio|Joaquim Manuel de Macedo	2399311
A casa dos fantasmas|Luís Augusto Rebelo da Silva	10128060
A casa verde|Júlia Lopes de Almeida;Filinto de Almeida	10342538
A caveira da mártir|Camilo Castelo Branco	12107131
A cena do ódio|Almada Negreiros	15798872
A cidade do vício|Fialho de Almeida	31210181
A cidade e a infância|Luandino Vieira	22403823
A cidade maravilhosa|Coelho Neto	51173112
A confederação dos tamoios|Gonçalves de Magalhães, Visconde de Araguaia	25220915
A conspiração de 1817|Raul Brandão	32224785
A construção do mito Mário Palmério|André Azevedo da Fonseca	39926277
A correspondência de Fradique Mendes|Eça de Queirós	2434950
A correspondência de uma estação de cura|João do Rio	15517290
A corte do Norte|Agustina Bessa-Luís	11490434
A crítica que fez história|Milena da Silveira Pereira	37505990
A crítica teatral. José de Alencar: Mãe|Machado de Assis	58295564
A cruising voyage round the World|Woodes Rogers	981224
A dança do destino|Luthgarda Guimarães de Caires	42212252
A década republicana|Franklin Dória;Max Fleiuss;Carlos de Laet;Ângelo Tomás do Amaral;Conde Afonso Celso;Cândido de Oliveira;Silva Costa;Domingos de Andrade Figueira;Barão de Paranapiacaba;Correia de Bittencourt;Cunha Matos	42128714
A Delfina do mal|Tomás Ribeiro	39122092
A dissolução do regime capitalista|Teixeira Bastos	18631681
A divina pastora|José Antônio do Vale Caldre Fião	17310777
A doida do Candal|Camilo Castelo Branco	6989524
A engomadeira|Almada Negreiros	12209187
A enjeitada|Camilo Castelo Branco	8534980
