id	name	fans_count	author_followers_count	image_url	about	influences	works_count	hometown	born_at	died_at	goodreads_author	author_url
27996	José A. Blanco	2	2	https://s.gr-assets.com/assets/nophoto/user/u_200x266-e183445fd1a1b5cc7075bb1cf7043306.png	Author of books on Spanish language learning for English language speakers.	Unknown	682	Unknown			False	https://www.goodreads.com/author/show/27996.Jos_A_Blanco
2764373	Teófilo Braga	11	11	https://images.gr-assets.com/authors/1243717188p5/2764373.jpg	Joaquim Teófilo Fernandes Braga was a Portuguese politician, writer and essayist. His debut in literature was in 1859 with Green leaves. Graduated of the University of Coimbra, is fixed in Lisbon in 1872, where he teaches literature in the Curso Superior de Letras (now Faculty of Arts University of Lisbon). Of his literary career there are works of literary history, ethnography (with special emphasis on its collections of stories and traditional songs), poetry, fiction and philosophy.	Unknown	154	Ponta Delgada	1843/02/24	1924/01/28	False	https://www.goodreads.com/author/show/2764373.Te_filo_Braga
14265957	J C Oakenfull	0	0	https://s.gr-assets.com/assets/nophoto/user/u_200x266-e183445fd1a1b5cc7075bb1cf7043306.png	Unknown	Unknown	2	Unknown			False	https://www.goodreads.com/author/show/14265957.J_C_Oakenfull
2341614	Garcia de Resende	2	2	https://images.gr-assets.com/authors/1523753604p5/2341614.jpg	Garcia de Resende (Évora, 1470 - Évora, 3 de Fevereiro de 1536) foi um poeta, cronista, músico, desenhista e arquiteto português.Sabe-se que em 1490 era moço de câmara de D. João II (1481-1495) e, no ano seguinte, seu moço de escrevaninha ou secretário particular, cargo que exercia ainda em Alvor, onde o soberano veio a falecer. Coube-lhe ser designado secretário-tesoureiro da faustosa embaixada liderada por Tristão da Cunha, enviada por D. Manuel I (1495-1521) ao Papa Leão X. Os últimos anos de vida passou-os em Évora, onde era proprietário.Como muitos homens do Renascimento, Garcia de Resende tinha muitas facetas: trovava, tangia, desenhava e julga-se que era entendido em arquitectura militar.Alguns historiadores consideram-no o iniciador do ciclo dos Castros, pois as suas trovas referentes à morte de Inês de Castro são o mais antigo documento poético conhecido versando sobre o assunto. Escreveu a Miscelânea em redondilhas, curiosa anotação de personagens e de acontecimentos, nacionais e europeus. Nessa obra atribui em versos a Gil Vicente a inovação da comédia de costumes em Portugal, quando o teatro da época se limitava a ser um misto de teatro litúrgico e teatro pastoril.	Unknown	16	Évora		1535/12/05	False	https://www.goodreads.com/author/show/2341614.Garcia_de_Resende
4831358	John Luccock	0	0	https://s.gr-assets.com/assets/nophoto/user/u_200x266-e183445fd1a1b5cc7075bb1cf7043306.png	Unknown	Unknown	6	Unknown			False	https://www.goodreads.com/author/show/4831358.John_Luccock
15694203	Visconde D'Almeida Garrett	0	0	https://s.gr-assets.com/assets/nophoto/user/u_200x266-e183445fd1a1b5cc7075bb1cf7043306.png	Unknown	Unknown	1	Unknown			False	https://www.goodreads.com/author/show/15694203.Visconde_D_Almeida_Garrett
1599504	Cornélio Penna	2	2	https://images.gr-assets.com/authors/1403566506p5/1599504.jpg	Cornélio Penna was a Brazilian novelist, painter and illustrator. He was part of the second-generation of Modernism in Brazil, and created the Brazilian psychological realism.	Unknown	5	Petrópolis	1896/02/20	1958/02/12	False	https://www.goodreads.com/author/show/1599504.Corn_lio_Penna
4548247	Manuel Odorico Mendes	1	1	https://s.gr-assets.com/assets/nophoto/user/u_200x266-e183445fd1a1b5cc7075bb1cf7043306.png	Unknown	Unknown	13	Unknown			False	https://www.goodreads.com/author/show/4548247.Manuel_Odorico_Mendes
18104397	A F de Castilho	0	0	https://s.gr-assets.com/assets/nophoto/user/u_200x266-e183445fd1a1b5cc7075bb1cf7043306.png	Unknown	Unknown	2	Unknown			False	https://www.goodreads.com/author/show/18104397.A_F_de_Castilho
413594	Álvares de Azevedo	73	73	https://images.gr-assets.com/authors/1200915578p5/413594.jpg	Alvares de Azevedo was a writer of the second brazilian romantic generation, also called Byronian generation. He spent his childhood in Rio de Janeiro where he began his studies. He came back to Sao Paulo to start on his Law School where he became known for his brilliant writings. He had the ability to learn languages easily and was recognized for his young and sentimental spirit. He couldn't finish his law school because of the tuberculosis he had, many times proclaimed as the disease of the century since many authors of this age died of it, although what actually came to kill him was the horse fall by his twenties.	"<a href=""https://www.goodreads.com/author/show/5441723.Lord_George_Gordon_Byron"" title=""Lord George Gordon Byron"" rel=""nofollow noopener"">Lord George Gordon Byron</a>, <a href=""https://www.goodreads.com/author/show/40496.Fran_ois_Ren__de_Chateaubriand"" title=""François-René de Chateaubriand"" rel=""nofollow noopener"">François-René de Chateaubriand</a>, <a href=""https://www.goodreads.com/author/show/224009.Alfred_De_Musset"" title=""Alfred De Musset"" rel=""nofollow noopener"">Alfred De Musset</a>"	24	Sao Paulo	1831/09/12	1852/04/25	False	https://www.goodreads.com/author/show/413594._lvares_de_Azevedo
