id;id;title;country_code;image_url;publication_year;publisher;language_code;is_ebook;description;average_rating;num_pages;format;ratings_count;text_reviews_count;url;series_works
82888;82888;Dom Casmurro;BR;https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png;2005;Luso-Brazilian Books;por;FALSE;Dom Casmurro é a alcunha de Bento Santiago, que, velho e só, desvela as suas memórias. Uma promessa da mãe, traça-lhe o destino como padre, mas Bento Santiago apaixonado, abandona o seminário. Estuda Direito e casa-se com o seu grande amor, mas o ciúme e a desconfiança adensam-se. Suspeita que não é o pai biológico do filho do casal, Ezequiel, mas sim o seu grande amigo Escobar.;4.31;176;Paperback;19964;590;https://www.goodreads.com/book/show/82888.Dom_Casmurro;
6790049;6790049;Assassinatos Na Academia Brasileira De Letras;BR;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327874232l/6790049._SX98_.jpg;2005;Companhia das Letras;por;FALSE;;3.46;;Paperback;726;21;https://www.goodreads.com/book/show/6790049-assassinatos-na-academia-brasileira-de-letras;
723456;723456;Capitães da Areia;BR;https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png;1988;Editora Record;por;FALSE;<i>Capitães da Areia</i> é o livro de Jorge Amado mais vendido no mundo inteiro.<br />Publicado em 1937, teve a sua primeira edição apreendida e queimada em praça pública pelas autoridades do Estado Novo. Em 1944 conheceu nova edição e desde então sucederam-se as edições nacionais e estrangeiras, e as adaptações para a rádio, televisão e cinema.<br />Jorge Amado descreve, em páginas carregadas de grande beleza, dramatismo e lirismo poucas vezes igualados na literatura universal, a vida dos meninos abandonados nas ruas de São Salvador da Bahia.<br /><br />Dividido em três partes, o livro atinge um clímax inesquecível no capítulo .Canção da Bahía, Canção da Liberdade., em que é narrada a emocionante despedida de um dos personagens da história, que se afasta dos seus queridos Capitães da Areia .na noite misteriosa das macumbas, enquanto os atabaques ressoam como clarins de guerra.;4.31;156;Paperback;14615;400;https://www.goodreads.com/book/show/723456.Capit_es_da_Areia;
12004938;12004938;"Razão e sensibilidade; Orgulho e preconceito; Persuasão";BR;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366672097l/12004938._SX98_.jpg;2010;Martin Claret;por;FALSE;"O fascínio que os escritos de Jane Austen exercem, mais do que se manter, torna-se maior no curso do tempo. A obra desta aclamada escritora tem sido constantemente adaptada para o teatro, cinema e televisão; nos meios acadêmicos, tem gerado abundantes e fecundos estudos de sua dimensão estética, sociológica e histórica; em vários países, inclusive o Brasil, são-lhe dedicados ativos e entusiasmados fã-clubes; e, na web, há um número assombroso de páginas que remetem a Jane Austen.<br /><br />Esta edição especial reúne <i>Razão e Sensibilidade</i>, <i>Orgulho e Preconceito</i> e <i>Persuasão</i> – três dos mais apreciados romances desta que é uma das mais lidas e amadas autoras inglesas em todo o mundo.";4.48;640;Paperback;187;9;https://www.goodreads.com/book/show/12004938-raz-o-e-sensibilidade-orgulho-e-preconceito-persuas-o;
1026496;1026496;Memórias de um Sargento de Milícias;BR;https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png;;;por;FALSE;A figura central deste romance é Leonardo, filho enjeitado de Leonardo Pataca e Maria da Hortaliça, criado pelos padrinhos - uma parteira e um barbeiro. O narrador, que frequentemente interrompe a narrativa para comentar as ações das personagens, focaliza a vida agitada de Leonardo, seus casos com a mulata Vidinha, o namoro com Luisinha e seus planos para escapar das perseguições do severo major Vidigal.;3.44;;;4531;55;https://www.goodreads.com/book/show/1026496.Mem_rias_de_um_Sargento_de_Mil_cias;
2067912;2067912;A Batalha do Apocalipse;BR;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1401709627l/2067912._SX98_.jpg;2007;;por;FALSE;;4.15;569;Paperback;2620;101;https://www.goodreads.com/book/show/2067912.A_Batalha_do_Apocalipse;
6819764;6819764;A Hora da Estrela;BR;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1496083626l/6819764._SX98_.jpg;2009;Rocco;por;FALSE;"<i>You can find an alternative cover edition for this ISBN <a href=""https://www.goodreads.com/book/show/148812.A_Hora_da_Estrela"" rel=""nofollow noopener"">here</a>.</i><br /><br />A história da nordestina Macabéa é contada passo a passo por seu autor, o escritor Rodrigo S.M. (um alter-ego de Clarice Lispector), de um modo que os leitores acompanhem o seu processo de criação. À medida que mostra esta alagoana, órfã de pai e mãe, criada por uma tia, desprovida de qualquer encanto, incapaz de comunicar-se com os outros, ele conhece um pouco mais sua própria identidade. A descrição do dia-a-dia de Macabéa na cidade do Rio de Janeiro como datilógrafa, o namoro com Olímpico de Jesus, seu relacionamento com o patrão e com a colega Glória e o encontro final com a cartomante estão sempre acompanhados por convites constantes ao leitor para ver com o autor de que matéria é feita a vida de um ser humano.";4.04;88;Paperback;4836;266;https://www.goodreads.com/book/show/6819764-a-hora-da-estrela;
11889677;11889677;Perdida (Perdida #1);BR;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327887524l/11889677._SX98_.jpg;2011;Baraúna;por;FALSE;Sofia vive em uma metrópole e está habituada com a modernidade e as facilidades que isso lhe proporciona. Ela é independente e tem pavor à menção da palavra casamento. Os únicos romances em sua vida são os que os livros lhe proporcionam. Mas tudo isso muda depois que ela se vê em uma complicada condição.<br />Após comprar um novo celular, algo misterioso acontece e Sofia descobre que está perdida no século XIX, sem ter ideia de como ou se voltará. Ela é acolhida pela família Clarke, enquanto tenta desesperadamente encontrar um meio de voltar para casa.<br />Com a ajuda do prestativo Ian, Sofia embarca numa procura às cegas e acaba encontrando algumas pistas que talvez possam levá-la de volta para casa. O que ela não sabia era que seu coração tinha outros planos...;4.27;472;Board book;4026;220;https://www.goodreads.com/book/show/11889677-perdida;OrderedDict([('series_work', OrderedDict([('id', '898527'), ('user_position', '1'), ('series', OrderedDict([('id', '176820'), ('title', 'Perdida'), ('description', None), ('note', None), ('series_works_count', '4'), ('primary_work_count', '4'), ('numbered', 'true')]))]))])
3493168;3493168;O Cortiço;BR;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358430595l/3493168._SX98_.jpg;2012;Ateliê Editorial;por;FALSE;Se O Cortiço é dos romances mais contundentes da literatura brasileira, este volume possui atributos que o convertem na melhor edição do clássico de Aluísio Azevedo. Além de texto estabelecido conforme a última edição em vida do autor, contém iconografia histórica e notas de rodapé por Leila Guenther. O ensaio de apresentação foi escrito por Paulo Franchetti, que, revisando noções consagradas, oferece argumentos para uma nova leitura do romance.;3.85;384;Paperback;9202;150;https://www.goodreads.com/book/show/3493168-o-corti-o;
334227;334227;Vidas Secas;BR;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1376282041l/334227._SX98_.jpg;2003;Record;por;FALSE;<em>Vidas secas</em>, lançado originalmente em 1938, é o romance em que mestre Graciliano — tão meticuloso que chegava a comparecer à gráfica no momento em que o livro entrava no prelo, para checar se a revisão não haveria interferido em seu texto — alcança o máximo da expressão que vinha buscando em sua prosa. O que impulsiona os personagens é a seca, áspera e cruel, e paradoxalmente a ligação telúrica, afetiva, que expõe naqueles seres em retirada, à procura de meios de sobrevivência e um futuro. <br /><br />Apesar desse sentimento de transbordante solidariedade e compaixão com que a narrativa acompanha a miúda saga do vaqueiro Fabiano e sua gente, o autor contou: Procurei auscultar a alma do ser rude e quase primitivo que mora na zona mais recuada do sertão... os meus personagens são quase selvagens... pesquisa que os escritores regionalistas não fazem e nem mesmo podem fazer ...porque comumente não são familiares com o ambiente que descrevem...Fiz o livrinho sem paisagens, sem diálogos. E sem amor. A minha gente, quase muda, vive numa casa velha de fazenda. As pessoas adultas, preocupadas com o estômago, não tem tempo de abraçar-se. Até a cachorra [Baleia] é uma criatura decente, porque na vizinhança não existem galãs caninos.<br /><br /><em>Vidas secas</em> é o livro em que Graciliano, visto como antipoético e anti-sonhador por excelência, consegue atingir, com o rigor do texto que tanto prezava, um estado maior de poesia.;4.17;176;Paperback;10095;237;https://www.goodreads.com/book/show/334227.Vidas_Secas;
