id	title	isbn	isbn13	asin	image_url	publication_year	publication_month	publication_day	publisher	is_ebook	description	num_pages	format	format_summ	edition_information	average_rating	ratings_count	text_reviews_count	num_of_authors	similar_books	num_of_similar_books	popular_shelves	to_read	currently_reading	favorites	num_of_shelves	work_url
27703627	A Afilhada	1512363308	9781512363302		https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png	2015.0	5.0	24.0	Createspace Independent Publishing Platform	False	['', 'A', 'Afilhada', 'from', 'Manuel', 'de', 'Oliveira', 'Paiva', 'Escritor', 'brasileiro', '1861', '1892', '']	172.0	Paperback	Physical	Unknown	3.0	1	0	9.0	Unknown	0.0	Unknown	0.0	0.0	0.0	0.0	https://www.goodreads.com/book/show/27703627-a-afilhada
2074546	A Águia e a Galinha	8532618456	9788532618450		https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1399684917l/2074546._SX98_.jpg	1997.0			Vozes	False	['Cada', 'um', 'hospeda', 'dentro', 'de', 'si', 'uma', 'águia', 'Sente', 'se', 'portador', 'de', 'um', 'projeto', 'infinito', 'Quer', 'romper', 'os', 'limites', 'apertados', 'de', 'seu', 'arranjo', 'existencial', 'Porém', 'há', 'movimentos', 'na', 'política', 'na', 'educação', 'e', 'no', 'processo', 'de', 'mundialização', 'que', 'pretendem', 'reduzir', 'nos', 'a', 'simples', 'galinhas', 'segundo', 'o', 'autor', 'confinadas', 'aos', 'limites', 'do', 'terreiro', 'Como', 'vamos', 'dar', 'asas', 'à', 'águia', 'ganhar', 'altura', 'integrar', 'também', 'a', 'galinha', 'e', 'sermos', 'heróis', 'de', 'nossa', 'própria', 'saga', 'Este', 'livro', 'de', 'Leonardo', 'Boff', 'sugere', 'caminhos', 'mostra', 'uma', 'direção', 'e', 'projeta', 'um', 'sonho', 'promissor', 'para', 'utilizar', 'as', 'energias', 'presentes', 'tanto', 'na', 'águia', 'quanto', 'na', 'galinha', 'O', 'que', 'se', 'espera', 'é', 'uma', 'reflexão', 'instigante', 'e', 'entusiasmo', 'na', 'busca', 'da', 'identidade', 'pessoal', '']	140.0	unknown	Unknown	1	3.49	89	8	9.0	"{'34047073': 'Sturmherz', '762390': 'The Hour of the Star', '1045984': 'Estação Carandiru', '55966497': 'Mitra', '22175': 'Strange Pilgrims', '2697840': 'Mentes Inquietas', '1026496': 'Memórias de um Sargento de Milícias', '15983788': 'As Aventuras de Sherlock Holmes (Sherlock Holmes #3)', '2380073': 'Comédias para se Ler na Escola', '716132': 'O Primo Basílio', '6924186': 'Bésame mucho', '30653949': 'The Finishing School', '10975': 'The Sound and the Fury', '3982585': 'O Menino do Dedo Verde', '2268489': 'Une Femme Honorable', '608651': ""Winter in the Morning: A Young Girl's Life in the Warsaw Ghetto and Beyond, 1939-1945"", '6511517': ""Today I'm Alice: Nine Personalities, One Tortured Mind"", '3377672': 'Os Cem Melhores Contos Brasileiros do Século'}"	18.0	{'to-read': '64', 'currently-reading': '7', 'default': '3', 'my-books': '2', 'library': '2', 'filosofia-e-reflexões': '1', 'jejum': '1', 'self-help': '1', 'read-in-portuguese': '1', 'e-book': '1', 'boring': '1', 'filosofia': '1', 'lidos-2020': '1', 'brazilians': '1', 'teca_livros': '1', 'tenho': '1', 'next-readings': '1', '0-escritorio': '1', 'brasil': '1', 'livros-que-tenho': '1', 'fait-religieux': '1', 'liderança-transformadora': '1', 'medio-ambiente': '1', 'liberation-theology': '1', 'literatura-lusófona': '1', 'ensayo': '1', 'meus-livros': '1', 'casa': '1', 'shelved': '1', 'irene': '1', 'exclusivo': '1', 'in-portuguese': '1', 'adolescentes': '1', 'religione-e-miti-dal-mondo': '1', 'inserted-by-me': '1', 'amon': '1', 'desejado': '1', 'estante-inferior': '1', 'minha-biblioteca': '1', '2006-e-antes': '1', 'tsundoku': '1', 'i-have': '1', 'south-america': '1', 'livros-em-joinville': '1', 'coaching': '1', 'change': '1', 'favorites': '1', 'biblioteca-pessoal': '1', 'it-wikipedia': '1', '2005': '1', 'brazilian-writers': '-1'}	64.0	7.0	1.0	51.0	https://www.goodreads.com/book/show/2074546.A_guia_e_a_Galinha
42608885	A alma alheia (contos)			B007XXKENU	https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png				unknown	True	Unknown	Unknown	unknown	Unknown	Unknown	0.0	0	0	9.0	Unknown	0.0	{'to-read': '1', 'brasileiros': '1'}	1.0	0.0	0.0	2.0	https://www.goodreads.com/book/show/42608885-a-alma-alheia
27703271	A Alma Do Outro Mundo	1512354015	9781512354010		https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png	2015.0	5.0	24.0	Createspace Independent Publishing Platform	False	['', 'A', 'alma', 'do', 'outro', 'mundo', 'from', 'Guimar', 'es', 'J', 'nior', 'Diplomata', 'poeta', 'romancista', 'e', 'teatr', 'logo', 'brasileiro', '1845', '1898', '']	64.0	Paperback	Physical	Unknown	4.0	1	0	9.0	Unknown	0.0	Unknown	0.0	0.0	0.0	0.0	https://www.goodreads.com/book/show/27703271-a-alma-do-outro-mundo
41995872	A Arcadia Lusitana: Gar��o, Quita, Figueiredo, Diniz (Classic Reprint)	0366966146	9780366966141		https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png	2018.0	9.0	17.0	Forgotten Books	False	['Excerpt', 'from', 'A', 'Arcadia', 'Lusitana', 'Gar', 'o', 'Quita', 'Figueiredo', 'DinizN', 'B', 'Naesta', 'reedi', 'o', 'continua', 'se', 'de', 'preferencia', 'pelos', 'volumes', 'a', 'refundir', 'e', 'especialmente', 'pelos', 'que', 'est', 'o', 'ainda', 'incdilos', 'About', 'the', 'PublisherForgotten', 'Books', 'publishes', 'hundreds', 'of', 'thousands', 'of', 'rare', 'and', 'classic', 'books', 'Find', 'more', 'at', 'www', 'forgottenbooks', 'comThis', 'book', 'is', 'a', 'reproduction', 'of', 'an', 'important', 'historical', 'work', 'Forgotten', 'Books', 'uses', 'state', 'of', 'the', 'art', 'technology', 'to', 'digitally', 'reconstruct', 'the', 'work', 'preserving', 'the', 'original', 'format', 'whilst', 'repairing', 'imperfections', 'present', 'in', 'the', 'aged', 'copy', 'In', 'rare', 'cases', 'an', 'imperfection', 'in', 'the', 'original', 'such', 'as', 'a', 'blemish', 'or', 'missing', 'page', 'may', 'be', 'replicated', 'in', 'our', 'edition', 'We', 'do', 'however', 'repair', 'the', 'vast', 'majority', 'of', 'imperfections', 'successfully', 'any', 'imperfections', 'that', 'remain', 'are', 'intentionally', 'left', 'to', 'preserve', 'the', 'state', 'of', 'such', 'historical', 'works', '']	660.0	Paperback	Physical	Unknown	0.0	0	0	9.0	Unknown	0.0	Unknown	0.0	0.0	0.0	0.0	https://www.goodreads.com/book/show/41995872-a-arcadia-lusitana
56965633	A Arte de Fazer Versos			B08CSWF14P	https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png				unknown	True	Unknown	Unknown	unknown	Unknown	Unknown	0.0	0	0	2.0	Unknown	0.0	Unknown	0.0	0.0	0.0	0.0	https://www.goodreads.com/book/show/56965633-a-arte-de-fazer-versos
37603731	A Besta Esfolada (Classic Reprint)	0332359271	9780332359274		https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1517123829l/37603731._SX98_.jpg	2018.0	5.0	27.0	Forgotten Books	False	['Excerpt', 'from', 'A', 'Besta', 'EsfoladaPorta', 'com', 'recados', 'offerecimentos', 'e', 'promessas', 'do', 'mesmo', 'Reis', 's', 'efendi', 'ou', 'Mahhmud', 'de', 'Carvalho', 'Eu', 'fustig', 'av', 'a', 'os', 'Jorna', 'listas', 'Trombeteiros', 'daquelle', 'tempo', 'me', 'descompunhao', 'mas', 'eu', 'nao', 'vi', 'nem', 'Timor', 'nem', 'Solor', 'nem', 'Berlengas', 'e', 'sem', 'passar', 'hum', 'dia', 'em', 'que', 'eu', 'nao', 'meues', 'se', 'lenha', 'e', 'mais', 'lenha', 'no', 'Fora', 'no', 'do', 'Tijolo', 'Meus', 'Senhores', 'Leitores', 'e', 'reparadores', 'desde', 'o', 'primeiro', 'de', 'outubro', 'de', '18q0', 'ate', 'Q7', 'de', 'Maio', 'de', '1893', 'eu', 'nun', 'Ca', 'fui', 'inquietado', 'nunca', 'fui', 'chpmado', 'nunca', 'fui', 'a5peramen', 'te', 'r', 'eprehendido', 'nunca', 'fui', 'terrivelmente', 'ameacado', 'ate', 'de', 'me', 'tirarem', 'hum', 'miseravel', 'pao', 'da', 'boca', 'que', 'eu', 'nao', 'pedi', 'o', 'que', 'me', 'succedco', 'com', 'estes', 'cabellos', 'mais', 'que', 'brancos', 'e', 'com', 'estes', 'dedos', 'cuncnclos', 'de', 'escrever', 'coisas', 'que', 'ou', 'em', 'versos', 'ou', 'em', 'prosas', 'nao', 'envergonha', 'a', 'Nagao', 'a', '27', 'de', 'Setembro', 'de', '1827', 'sendo', 'chamado', 'a', 'casa', 'de', 'hum', 'Ministro', 'de', 'Estado', 'alli', 'pelas', 'duas', 'horas', 'da', 'tarde', 'em', 'ponto', 'soou', 'em', 'meus', 'omidos', 'velhos', 'e', 'que', 'tem', 'ouvido', 'tanta', 'coisa', 'o', 'estampido', 'de', 'hum', 'mio', 'eu', 'olhava', 'para', 'os', 'quatro', 'angulos', 'da', 'Sala', 'a', 'ver', 'se', 'por', 'alli', 'estava', 'Miguel', 'ou', 'algum', 'collega', 'seu', 'e', 'damesma', 'pontualidade', 'e', 'mv', 'conduzia', 'para', 'outra', 'Sala', 'das', 'que', 'se', 'chamao', 'no', 'Palacio', 'do', 'Conde', 'Ancleiro', 'Salas', 'fechadas', 'Para', 'dizer', 'que', 'me', 'nao', 'as', 'sustei', 'isso', 'soria', 'busofiur', 'de', 'mais', 'os', 'que', 'por', 'aqui', 'passuo', 'a', 'Tomar', 'arvs', 'na', 'Torre', 'de', 'S', 'Juliao', 'vao', 'ama', 'rellos', 'como', 'huma', 'Cidra', 'isto', 'he', 'os', 'que', 'passao', 'de', 'dia', 'e', 'os', 'que', 'passao', 'de', 'noite', 'he', 'natural', 'que', 'levem', 'a', 'mesma', 'cor', 'porque', 'o', 'caso', 'nao', 'hc', 'para', 'Menos', 'Eu', 'ainda', 'me', 'estou', 'benzendo', 'da', 'conferencia', 'Nunca', 'Se', 'falhou', 'assim', 'a', 'huma', 'pessoa', 'de', 'Communhao', 'e', 'que', 'poe', 'Ja', 'huma', 'navalha', 'na', 'cara', 'Ai', 'Paremo', 'bum', 'pouco', 'e', 'fugamos', 'paragrafo', 'About', 'the', 'PublisherForgotten', 'Books', 'publishes', 'hundreds', 'of', 'thousands', 'of', 'rare', 'and', 'classic', 'books', 'Find', 'more', 'at', 'www', 'forgottenbooks', 'comThis', 'book', 'is', 'a', 'reproduction', 'of', 'an', 'important', 'historical', 'work', 'Forgotten', 'Books', 'uses', 'state', 'of', 'the', 'art', 'technology', 'to', 'digitally', 'reconstruct', 'the', 'work', 'preserving', 'the', 'original', 'format', 'whilst', 'repairing', 'imperfections', 'present', 'in', 'the', 'aged', 'copy', 'In', 'rare', 'cases', 'an', 'imperfection', 'in', 'the', 'original', 'such', 'as', 'a', 'blemish', 'or', 'missing', 'page', 'may', 'be', 'replicated', 'in', 'our', 'edition', 'We', 'do', 'however', 'repair', 'the', 'vast', 'majority', 'of', 'imperfections', 'successfully', 'any', 'imperfections', 'that', 'remain', 'are', 'intentionally', 'left', 'to', 'preserve', 'the', 'state', 'of', 'such', 'historical', 'works', '']	434.0	Paperback	Physical	Unknown	0.0	0	0	9.0	Unknown	0.0	Unknown	0.0	0.0	0.0	0.0	https://www.goodreads.com/book/show/37603731-a-besta-esfolada
18514807	A Biblia da Humanidade				https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1379431723l/18514807._SX98_.jpg				unknown	False	['dentro', 'do', 'homem', 'existe', 'um', 'deus', 'desconhecido', 'não', 'sei', 'qual', 'mas', 'existe', 'dizia', 'socrates', 'soletrando', 'com', 'os', 'olhos', 'da', 'razão', 'á', 'luz', 'serena', 'do', 'ceu', 'da', 'grecia', 'o', 'problema', 'do', 'destino', 'humano', 'e', 'christo', 'com', 'os', 'olhos', 'de', 'fé', 'lia', 'no', 'horisonte', 'annuveado', 'das', 'visões', 'do', 'propheta', 'esta', 'outra', 'palavra', 'de', 'consolação', 'dentro', 'do', 'homem', 'está', 'o', 'reino', 'dos', 'ceus', 'profundo', 'altissimo', 'accordo', 'de', 'dois', 'genios', 'tão', 'distantes', 'pela', 'patria', 'pela', 'raça', 'pela', 'tradicção', 'por', 'todos', 'os', 'abysmos', 'que', 'uma', 'fatalidade', 'mysteriosa', 'cavou', 'entre', 'os', 'irmãos', 'infelizes', 'violentamente', 'separados', 'd', 'uma', 'mesma', 'familia', '']	Unknown	unknown	Unknown	Unknown	3.81	17	2	9.0	{'5130': 'Island', '17288649': 'Creative Confidence: Unleashing the Creative Potential Within Us All', '7577282': 'A vida íntima de Laura', '36863628': 'Kotlin Programming: The Big Nerd Ranch Guide', '187208': 'Auto da Compadecida', '1733602': 'The April Theses', '52960137': 'Tudo o que você precisou desaprender para virar um idiota', '8248700': 'The Agile Samurai: How Agile Masters Deliver Great Software', '2706386': 'Contos Da Montanha', '61610': 'Introducing Neuro-Linguistic Programming: Psychological Skills for Understanding and Influencing People'}	10.0	{'to-read': '25', 'currently-reading': '4', 'wbooks': '1', 'não-lido': '1', 'poetry': '1'}	25.0	4.0	0.0	5.0	https://www.goodreads.com/book/show/18514807-a-biblia-da-humanidade
39672815	A bico de pena			B00PV5RATS	https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png				unknown	True	Unknown	Unknown	unknown	Unknown	Unknown	0.0	0	0	9.0	Unknown	0.0	{'to-read': '1', 'coa-literatura': '1'}	1.0	0.0	0.0	2.0	https://www.goodreads.com/book/show/39672815-a-bico-de-pena
8568086	A Bruxa de Monte Córdova				https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1340570395l/8568086._SX98_.jpg	1982.0	3.0		Círculo de Leitores	False	['Obras', 'Escolhidas', 'de', 'Camilo', 'Castelo', 'Branco', '13Editada', 'em', '1867', 'esta', 'obra', 'cedo', 'se', 'tornou', 'objecto', 'da', 'atenção', 'crítica', 'de', 'Camilo', 'Embora', 'tendo', 'alcançado', 'ao', 'tempo', 'um', 'menor', 'êxito', 'comercial', 'que', 'outros', 'títulos', 'romanescos', 'realidade', 'que', 'Camilo', 'adopta', 'para', 'um', 'exercício', 'irónico', 'sobre', 'os', 'merecimentos', 'das', 'novelas', 'a', 'verdade', 'que', 'A', 'Bruxa', 'de', 'Monte', 'Córdova', 'deve', 'ser', 'encarada', 'como', 'texto', 'paradigmático', 'do', 'universo', 'ficcional', 'de', 'Camilo', 'e', 'da', 'mundividência', 'que', 'o', 'enforma', 'permitindo', 'trilhar', 'caminhos', 'susceptíveis', 'de', 'conduzir', 'ao', 'âmago', 'desse', 'universo', 'e', 'perceber', 'que', 'em', 'Camilo', 'as', 'histórias', 'de', 'amor', 'nunca', 'são', 'apenas', 'histórias', 'de', 'amor', 'São', 'também', 'preciosos', 'testemunhos', 'da', 'organização', 'sócio', 'económica', 'de', 'um', 'tempo', 'e', 'de', 'um', 'lugar', 'em', 'que', 'matrimónio', 'e', 'património', 'eram', 'faces', 'de', 'uma', 'mesma', 'e', 'única', 'moeda', '']	199.0	Hardcover	Physical	Unknown	3.93	20	2	2.0	"{'24986678': 'A Odisseia: Aventuras de Ulisses Herói da Grécia Antiga', '8153827': 'Um Homem em Cheio, vol. I', '40702799': 'Bruto e Apaixonado (Irmãos Lancaster #1)', '2434508': 'O Mistério da Estrada de Sintra', '22050696': 'O Amor, Simplesmente', '29738': 'Patrimony', '12860043': 'Os Sensos Incomuns', '29797': ""The Pilgrim's Progress"", '17280366': 'O Barão de Lavos', '42550207': 'The Gospel According to Lazarus', '34079578': 'The Dollmaker of Krakow', '89717': 'The Haunting of Hill House', '750914': 'The Swedish Cavalier', '62809': 'Five Modern No Plays', '33574107': 'Tell Tale: Short Stories', '11488672': 'The Empire of Death: A Cultural History of Ossuaries and Charnel Houses', '11933098': 'Da Ilusão à Verdade', '15740629': 'When Jesus Wept (The Jerusalem Chronicles #1)'}"	18.0	{'to-read': '33', 'portugal': '2', 'portuguese-literature': '1', 'literatura-lusófona': '1', 'portuguese-authors': '1', 'portuguese-novel': '1', 'standalones': '1', 'read-in-portuguese': '1', 'own-epub-format': '1', 'classics': '1', 'biblioteca-pessoal': '1', 'ebooks': '1', 'xix': '1', 'talvez-a-ler': '1', 'língua-portuguesa': '1', 'fiction': '1', 'e-book': '1', 'biblioteca': '1', 'books-i-own': '1', 'r': '1', 'autores-portugueses': '1', '19th-century': '1'}	33.0	0.0	0.0	22.0	https://www.goodreads.com/book/show/8568086-a-bruxa-de-monte-c-rdova
